AF3_THETA,AF3_LOW_BETA,AF3_GAMMA,T7_ALPHA,T7_HIGH_BETA,Pz_THETA,Pz_LOW_BETA,Pz_GAMMA,T8_ALPHA,T8_HIGH_BETA,AF4_THETA,AF4_LOW_BETA,Label
1602.004637,468.603529,43.838238,3.143814,3.653197,1836.512045,536.023729,49.147614,927.308774,385.645319,1589.764454,483.600132,1
1648.410749,543.252317,47.554865,3.54325,3.101986,1835.950823,592.109822,49.783979,1152.014838,339.696784,1622.183379,549.072125,1
1605.193182,630.953231,52.33456,3.800832,2.640675,1764.307215,665.858569,52.058778,1328.980974,310.739266,1577.271683,632.298231,1
1462.585805,703.198872,57.832213,3.847343,2.426493,1604.177823,724.551309,55.786513,1418.389812,307.868532,1439.759194,701.31598,1
1305.079769,762.149646,63.599263,3.735482,2.569379,1419.164027,770.268777,60.481892,1438.650503,339.202677,1283.662914,756.660901,1
1320.886285,842.60945,69.251949,3.684445,3.085787,1378.318381,836.075617,65.55052,1494.858206,407.84814,1283.31319,829.854322,1
1709.573916,1024.936096,74.371279,4.315668,3.989479,1671.420845,997.482104,70.365941,1815.339463,505.43466,1628.497707,996.152189,1
2674.449206,1375.122299,81.814815,7.516654,5.673646,2503.861215,1316.828195,77.816966,2744.259291,608.279818,2521.010022,1323.170809,1
4965.148653,1960.555213,112.04205,18.52689,10.468572,4661.356984,1862.358436,108.676133,4818.785747,754.313121,4728.518563,1885.391184,1
10750.7405,2923.391502,207.880881,45.513262,22.375973,10318.86538,2779.330825,205.643866,8824.684759,1080.186787,10405.95687,2828.529682,1
22324.57259,4394.992589,406.323287,93.428502,44.01196,21739.13983,4203.130596,404.943356,15119.38111,1727.346032,21804.92187,4281.625892,1
40112.59396,6313.495846,703.049758,157.954312,73.620967,39331.55919,6076.995238,701.276408,23055.22473,2710.060975,39323.16389,6178.30671,1
61179.69784,8307.623411,1037.956093,224.658083,104.528772,60143.67343,8037.544564,1033.974274,30889.89276,3848.114634,60040.28807,8145.875834,1
